start;(1,0,0,mazda,stig,all-terrain,50,100%,);(n.a.)
0;(1,0,0,mazda,stig,all-terrain,50,100%,);(A1)
1;(1,1,0,mazda,stig,all-terrain,50,100%,);(A1)
4;(1,0,0,mazda,stig,all-terrain,50,100%,);(A1)
5;(1,1,0,mazda,stig,all-terrain,50,100%,);(A1)
8;(1,0,0,mazda,stig,all-terrain,50,100%,);(A1)
9;(6,0,0,mazda,stig,all-terrain,50,100%,);(A1)
10;(6,1,0,mazda,stig,all-terrain,50,100%,);(A1)
13;(6,0,0,mazda,stig,all-terrain,50,100%,);(A1)
14;(5,0,0,mazda,stig,all-terrain,50,100%,);(A1)
15;(1,0,0,mazda,stig,all-terrain,50,100%,);(A1)
16;(1,0,0,mazda,stig,all-terrain,50,100%,);(A1)
17;(1,1,0,mazda,stig,all-terrain,50,100%,);(A1)
20;(1,1,0,mazda,stig,all-terrain,50,100%,);(A1)
23;(1,0,0,mazda,stig,all-terrain,50,100%,);(A1)
24;(1,0,0,mazda,stig,all-terrain,50,100%,);(A1)
25;(1,0,0,mazda,stig,all-terrain,50,100%,);(A1)
26;(1,0,1,mazda,stig,all-terrain,50,100%,);(A1)
29;(1,1,0,mazda,stig,all-terrain,50,100%,);(A1)
Computer says no. Max steps reached: max steps = 30
