start;(1,0,0,mazda,anakin,all-terrain,50,100%,);(n.a.)
0;(1,0,0,toyota,anakin,all-terrain,50,100%,);(A2:toyota)
1;(3,0,0,toyota,anakin,all-terrain,46,100%,);(A1)
2;(5,0,0,toyota,anakin,all-terrain,40,100%,);(A1)
3;(5,0,0,toyota,anakin,all-terrain,36,100%,);(A1)
4;(6,0,0,toyota,anakin,all-terrain,32,100%,);(A1)
5;(6,1,0,toyota,anakin,all-terrain,29,100%,);(A1)
8;(6,1,0,toyota,anakin,all-terrain,26,100%,);(A1)
11;(6,1,0,toyota,anakin,all-terrain,23,100%,);(A1)
14;(5,0,0,toyota,anakin,all-terrain,20,100%,);(A1)
15;(5,0,0,toyota,anakin,all-terrain,16,100%,);(A1)
16;(6,0,0,toyota,anakin,all-terrain,12,100%,);(A1)
17;(5,0,0,toyota,anakin,all-terrain,9,100%,);(A1)
18;(7,0,0,toyota,anakin,all-terrain,5,100%,);(A1)
19;(7,0,0,toyota,anakin,all-terrain,2,100%,);(A1)
20;(7,0,0,toyota,anakin,mud,2,100%,);(A4:mud)
24;(7,0,0,toyota,anakin,mud,34,100%,);(A5:32)
25;(8,0,0,toyota,anakin,mud,31,100%,);(A1)
26;(8,0,0,toyota,anakin,mud,25,100%,);(A1)
27;(9,0,0,toyota,anakin,mud,19,100%,);(A1)
28;(10,0,0,toyota,anakin,mud,14,100%,);(A1)
29;(12,0,0,toyota,anakin,mud,10,100%,);(A1)
30;(12,0,0,toyota,anakin,mud,5,100%,);(A1)
31;(14,0,0,toyota,anakin,mud,0,100%,);(A1)
35;(14,0,0,toyota,anakin,mud,40,100%,);(A5:40)
36;(16,0,0,toyota,anakin,mud,34,100%,);(A1)
37;(16,0,0,toyota,anakin,mud,31,100%,);(A1)
38;(16,0,0,toyota,anakin,mud,28,100%,);(A1)
39;(13,0,0,toyota,anakin,mud,25,100%,);(A1)
40;(14,0,0,toyota,anakin,mud,20,100%,);(A1)
41;(14,0,0,toyota,anakin,mud,14,100%,);(A1)
42;(16,0,0,toyota,anakin,mud,8,100%,);(A1)
43;(17,0,0,toyota,anakin,mud,5,100%,);(A1)
44;(20,0,0,toyota,anakin,mud,2,100%,);(A1)
48;(20,0,0,toyota,anakin,mud,34,100%,);(A5:32)
49;(20,0,0,toyota,anakin,mud,31,100%,);(A1)
50;(22,0,0,toyota,anakin,mud,28,100%,);(A1)
51;(27,0,0,toyota,anakin,mud,24,100%,);(A1)
52;(28,0,0,toyota,anakin,mud,18,100%,);(A1)
53;(28,0,0,toyota,anakin,mud,15,100%,);(A1)
54;(28,0,0,toyota,anakin,mud,12,100%,);(A1)
55;(28,0,0,toyota,anakin,mud,9,100%,);(A1)
56;(28,0,0,toyota,anakin,mud,6,100%,);(A1)
57;(28,0,0,toyota,anakin,mud,3,100%,);(A1)
58;(28,1,0,toyota,anakin,mud,0,100%,);(A1)
62;(28,0,0,toyota,anakin,mud,16,100%,);(A5:16)
63;(28,0,0,toyota,anakin,mud,13,100%,);(A1)
64;(29,0,0,toyota,anakin,mud,10,100%,);(A1)
65;(29,0,0,toyota,anakin,mud,5,100%,);(A1)
66;(30,0,0,toyota,anakin,mud,0,100%,);(A1)
Goal reached, you bloody ripper!
