start;(1,0,0,mazda,anakin,all-terrain,50,100%,);(n.a.)
0;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
1;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
2;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
3;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
4;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
5;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
6;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
7;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
8;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
9;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
10;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
11;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
12;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
13;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
14;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
15;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
16;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
17;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
18;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
19;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
20;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
21;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
22;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
23;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
24;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
25;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
26;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
27;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
28;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
29;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
30;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
31;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
32;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
33;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
34;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
35;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
36;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
37;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
38;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
39;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
40;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
41;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
42;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
43;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
44;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
45;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
46;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
47;(1,0,0,humvee,anakin,all-terrain,50,100%,);(A2:humvee)
