start;(1,0,0,go-kart,toad,all-terrain,50,100%,);(n.a.)
0;(1,0,0,go-kart,toad,performance,50,100%,);(A4:performance)
1;(3,0,0,go-kart,toad,performance,47,100%,);(A1)
2;(7,0,0,go-kart,toad,performance,43,100%,);(A1)
3;(7,1,0,go-kart,toad,performance,41,100%,);(A1)
5;(7,0,1,go-kart,toad,performance,39,100%,);(A1)
9;(7,1,0,go-kart,toad,performance,37,100%,);(A1)
11;(8,0,0,go-kart,toad,performance,35,100%,);(A1)
12;(8,1,0,go-kart,toad,performance,31,100%,);(A1)
14;(10,0,0,go-kart,toad,performance,27,100%,);(A1)
15;(10,0,0,go-kart,toad,performance,24,100%,);(A1)
16;(11,0,0,go-kart,toad,performance,21,100%,);(A1)
17;(12,0,0,go-kart,toad,performance,19,100%,);(A1)
18;(13,0,0,go-kart,toad,performance,16,100%,);(A1)
19;(14,0,0,go-kart,toad,performance,13,100%,);(A1)
20;(16,0,0,go-kart,toad,performance,12,100%,);(A1)
21;(17,0,0,go-kart,toad,performance,10,100%,);(A1)
22;(16,0,0,go-kart,toad,performance,8,100%,);(A1)
23;(16,0,1,go-kart,toad,performance,6,100%,);(A1)
27;(16,1,0,go-kart,toad,performance,4,100%,);(A1)
29;(17,0,0,go-kart,toad,performance,2,100%,);(A1)
30;(18,0,0,go-kart,toad,performance,0,100%,);(A1)
31;(18,0,0,ferarri,toad,performance,50,100%,);(A7:ferarri:toad)
32;(19,0,0,ferarri,toad,performance,45,100%,);(A1)
33;(20,0,0,ferarri,toad,performance,43,100%,);(A1)
34;(21,0,0,ferarri,toad,performance,39,100%,);(A1)
35;(22,0,0,ferarri,toad,performance,36,100%,);(A1)
36;(23,0,0,ferarri,toad,performance,31,100%,);(A1)
37;(24,0,0,ferarri,toad,performance,26,100%,);(A1)
38;(25,0,0,ferarri,toad,performance,20,100%,);(A1)
39;(26,0,0,ferarri,toad,performance,17,100%,);(A1)
40;(28,0,0,ferarri,toad,performance,14,100%,);(A1)
41;(29,0,0,ferarri,toad,performance,10,100%,);(A1)
42;(30,0,0,ferarri,toad,performance,5,100%,);(A1)
Goal reached, you bloody ripper!
