start;(1,0,0,go-kart,max,all-terrain,50,100%,);(n.a.)
0;(1,0,0,flintmobile,toad,all-terrain,50,100%,);(A7:flintmobile:toad)
1;(2,0,0,flintmobile,toad,all-terrain,47,100%,);(A1)
2;(2,0,0,optimus,toad,all-terrain,50,100%,);(A7:optimus:toad)
3;(2,0,0,optimus,toad,all-terrain,44,100%,);(A1)
4;(2,0,0,optimus,toad,all-terrain,38,100%,);(A1)
5;(3,0,0,optimus,toad,all-terrain,32,100%,);(A1)
6;(4,0,0,optimus,toad,all-terrain,26,100%,);(A1)
7;(5,0,0,optimus,toad,all-terrain,22,100%,);(A1)
8;(6,0,0,optimus,toad,all-terrain,19,100%,);(A1)
9;(7,0,0,optimus,toad,all-terrain,17,100%,);(A1)
10;(7,0,0,optimus,toad,all-terrain,15,100%,);(A1)
11;(9,0,0,optimus,toad,all-terrain,13,100%,);(A1)
12;(9,0,0,optimus,toad,all-terrain,9,100%,);(A1)
13;(9,0,0,optimus,toad,all-terrain,5,100%,);(A1)
14;(10,0,0,optimus,toad,all-terrain,1,100%,);(A1)
15;(10,0,0,optimus,toad,low-profile,9,50%,);(A8:low-profile:8:50%)
16;(10,0,0,optimus,toad,low-profile,0,50%,);(A1)
17;(10,0,0,optimus,toad,all-terrain,32,50%,);(A8:all-terrain:32:50%)
18;(10,0,0,optimus,toad,all-terrain,23,50%,);(A1)
19;(11,0,0,optimus,toad,all-terrain,14,50%,);(A1)
20;(12,0,0,optimus,toad,all-terrain,8,50%,);(A1)
21;(12,0,0,go-kart,toad,all-terrain,50,100%,);(A2:go-kart)
22;(12,0,0,kitt,toad,all-terrain,50,100%,);(A7:kitt:toad)
23;(11,0,0,kitt,toad,all-terrain,47,100%,);(A1)
24;(12,0,0,kitt,toad,all-terrain,45,100%,);(A1)
25;(12,0,1,kitt,toad,all-terrain,42,100%,);(A1)
29;(16,0,0,kitt,toad,all-terrain,39,100%,);(A1)
30;(17,0,0,kitt,toad,all-terrain,34,100%,);(A1)
31;(17,0,0,kitt,toad,all-terrain,29,100%,);(A1)
32;(18,0,0,kitt,toad,all-terrain,24,100%,);(A1)
33;(19,0,0,kitt,toad,all-terrain,21,100%,);(A1)
34;(20,0,0,kitt,toad,all-terrain,17,100%,);(A1)
35;(21,0,0,kitt,toad,all-terrain,15,100%,);(A1)
36;(21,0,1,kitt,toad,all-terrain,10,100%,);(A1)
40;(22,0,0,kitt,toad,all-terrain,5,100%,);(A1)
41;(21,0,0,kitt,toad,all-terrain,2,100%,);(A1)
42;(21,0,0,kitt,toad,all-terrain,34,75%,);(A8:all-terrain:32:75%)
43;(20,0,0,kitt,toad,all-terrain,24,75%,);(A1)
44;(21,0,0,kitt,toad,all-terrain,20,75%,);(A1)
45;(22,0,0,kitt,toad,all-terrain,10,75%,);(A1)
46;(23,0,0,kitt,toad,all-terrain,4,75%,);(A1)
47;(23,0,0,kitt,toad,all-terrain,36,50%,);(A8:all-terrain:32:50%)
48;(24,0,0,kitt,toad,all-terrain,27,50%,);(A1)
49;(24,0,0,kitt,toad,all-terrain,9,50%,);(A1)
50;(24,0,0,kitt,toad,low-profile,33,50%,);(A8:low-profile:24:50%)
51;(25,0,0,kitt,toad,low-profile,15,50%,);(A1)
52;(26,0,0,kitt,toad,low-profile,0,50%,);(A1)
55;(26,0,0,kitt,toad,low-profile,24,50%,);(A5:24)
56;(27,0,0,kitt,toad,low-profile,15,50%,);(A1)
57;(28,0,0,kitt,toad,low-profile,3,50%,);(A1)
58;(28,0,0,kitt,toad,all-terrain,11,75%,);(A8:all-terrain:8:75%)
59;(29,0,0,kitt,toad,all-terrain,7,75%,);(A1)
60;(29,1,0,kitt,toad,all-terrain,1,75%,);(A1)
62;(29,0,0,kitt,toad,all-terrain,25,75%,);(A8:all-terrain:24:75%)
63;(29,1,0,kitt,toad,all-terrain,19,75%,);(A1)
65;(30,0,0,kitt,toad,all-terrain,13,75%,);(A1)
Goal reached, you bloody ripper!
